Diameter1,Diameter2,Diameter3,Diameter4,Length1,Length2
10,10,9.99,15,49.94,60.05
10,9.99,9.99,15,49.89,59.98
10.01,10.01,10.01,15.01,49.87,59.97
10.01,10.01,10.01,15,49.85,59.93
9.99,9.98,9.98,14.99,49.93,60.03
10,10,9.99,14.99,49.9,60.04
9.9,9.89,9.91,14.88,49.99,60.14
