NaOH,NaCl,I1,I2,O2,Cl2
130.04,192.26,0.26,10.93,98.1,1.47
131.77,189.75,0.16,0.94,98.36,1.21
134.37,184.99,0.14,1.1,98.43,1.12
140.47,195.84,0.14,4.51,97.91,1.64
129.68,198.03,0.23,8.52,97.82,1.71
137.96,196.98,0.2,1.74,98.18,1.38
