1 PC,2 PC,3PC
0.366667,,
0.116667,,
0.466667,,
0,,
0.216667,,
0.008333,,
0.325,,
0.216667,,
0.441667,,
0.125,,
0.4,,
0.475,,
0.466667,,
0.3,,
0.483333,,
0.416667,,
