1 PC,2 PC,3PC
8,14,18
8,17,11
22,21,27
4,12,19
12,4,4
4,4,4
2,4,8
14,10,4
18,25,15
12,11,20
14,18,20
24,16,9
22,21,19
4,4,4
24,4,9
18,9,4
