Score 1,Score 2,Score 3,Score 4,Score 5,Score 6,Score 7,Score 8,Score 9,Score 10,Score 11
2.5768,-1.08246,-0.7597,-0.15829,0.355807,0.65345,-0.552498,0.39727,-0.5653,0.005617,0.241017
4.43459,2.60908,0.83582,0.79439,-0.010457,-1.98913,-0.246805,-2.26163,-0.04761,-0.326801,0.139482
3.30575,2.1076,-2.97713,1.55112,0.533505,0.36206,0.939921,0.47702,-0.95261,0.380122,0.345685
2.64072,-2.39179,0.9389,-0.85155,-0.136569,-0.68671,-0.746755,0.16066,-0.11698,0.049551,0.117203
0.18422,2.27148,1.40161,-0.13256,-0.656174,1.38308,-0.347633,-0.54035,0.33968,-0.997548,0.217212
0.98503,-0.69017,-0.25506,-0.14546,0.28459,0.46736,0.564149,0.06907,-0.45424,0.297928,-0.449859
-4.07228,1.71007,-0.69075,-0.56877,0.386011,-0.15833,0.720589,0.31779,-1.13601,0.321893,0.602234
-3.42862,-0.32492,-1.63887,-0.50578,-0.351147,-0.06796,-0.57449,-0.32137,0.15506,0.438549,-0.133127
