X1,X2,X3,X4,X5,X6
0.084,0.090533,0.035167,10.776467,0.018233,0.019233
0.063,0.069733,0.0317,10.798833,0.019067,0.021533
0.057433,0.082867,0.044667,10.798133,0.019567,0.019333
0.0816,0.0801,0.024033,10.7738,0.018533,0.017533
0.050733,0.081267,0.0314,10.7869,0.0192,0.020967
0.036033,0.0577,0.015133,10.773467,0.0174,0.018167
0.058567,0.089433,0.037467,10.779933,0.016867,0.018467
0.090533,0.095833,0.053167,10.765933,0.0194,0.020133
0.0926,0.111133,0.057233,10.7098,0.0182,0.019667
0.107667,0.0747,0.0272,10.709867,0.021367,0.021167
0.100833,0.097367,0.044067,10.6977,0.018933,0.021133
0.1046,0.0733,0.0513,10.712967,0.0207,0.020867
0.057033,0.036267,0.023433,10.7369,0.019967,0.020733
0.095967,0.098,0.046,10.697333,0.0168,0.015367
0.0787,0.0488,0.055667,10.732933,0.018067,0.020367
0.068,0.070467,0.047467,10.7589,0.016733,0.0194
0.0915,0.060533,0.038667,10.8036,0.021767,0.017433
0.087333,0.081333,0.040233,10.7425,0.018433,0.0216
0.102233,0.117433,0.027067,10.736667,0.019133,0.0195
0.064,0.0716,0.040833,10.7283,0.019267,0.0188
0.1397,0.028933,0.068167,10.722467,0.019967,0.019333
0.095867,0.117333,0.041933,10.701933,0.021233,0.0196
0.0729,0.0961,0.0687,10.746967,0.0196,0.018333
0.047033,0.110567,0.052467,10.7347,0.018167,0.016233
0.0982,0.0912,0.032267,10.723,0.019133,0.0208
0.098033,0.094033,0.020433,10.6876,0.0203,0.0193
0.1136,0.0517,0.0403,10.8581,0.019767,0.020433
0.067133,0.063,0.048633,10.735267,0.020967,0.0196
0.052767,0.067767,0.031933,10.702067,0.019967,0.0207
0.071733,0.055933,0.0184,10.7197,0.019767,0.020167
0.086933,0.0762,0.023567,10.688367,0.019667,0.021233
0.096167,0.069367,0.027467,10.697233,0.019667,0.020433
0.089067,0.108433,0.050333,10.694833,0.020233,0.021167
0.0664,0.0843,0.045633,10.744067,0.019933,0.020933
0.0875,0.056767,0.0363,10.728433,0.0193,0.0179
0.052933,0.065267,0.022967,10.713033,0.0184,0.019033
0.087067,0.075367,0.0462,10.7249,0.017867,0.019033
0.0651,0.076733,0.036233,10.708367,0.0184,0.0199
0.098667,0.102,0.057333,10.736,0.020433,0.0198
0.056167,0.111667,0.033467,10.781667,0.019167,0.0203
0.1134,0.0749,0.045733,10.785067,0.019933,0.019833
0.039567,0.0716,0.03,10.7589,0.019,0.021333
0.051067,0.048167,0.013933,10.705267,0.018867,0.021933
0.077567,0.11,0.039833,10.742167,0.018267,0.021133
0.090667,0.0687,0.027033,10.803533,0.0186,0.0191
0.0699,0.0528,0.044367,10.7216,0.019333,0.0208
0.0921,0.0476,0.0455,10.710833,0.019367,0.0161
