X1,X2,X3,X4,X5,X6
0.034933,0.043767,0.015967,10.773633,0.016167,0.016967
0.075567,0.033467,0.051167,10.7154,0.019667,0.020767
0.067367,0.076267,0.032,10.713433,0.022167,0.0192
0.0423,0.052267,0.018333,10.721133,0.020667,0.021
0.027967,0.035233,0.025667,10.678367,0.020467,0.020433
0.072933,0.071967,0.016567,10.6871,0.018233,0.016833
0.112133,0.093633,0.0225,10.7486,0.019233,0.0182
0.083733,0.1009,0.0381,10.7859,0.018267,0.020533
0.063,0.105967,0.0489,10.7694,0.020467,0.018533
0.1065,0.113633,0.0405,10.7039,0.0164,0.014433
0.1294,0.106667,0.024033,10.684333,0.0197,0.019333
0.133567,0.0952,0.029667,10.677167,0.020233,0.019167
